run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s1.0_ecm1_top_fitness_vc200_sl10_06,1.0,1,top_fitness,200,10,2067144928,500,1,,"{""0"": 259}","{""0"": ""valley""}","{""2"": 10, ""4"": 10, ""1"": 10, ""3"": 10, ""0"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_07,0.5,0,top_fitness,200,20,3918581466,500,1,,"{""2"": 185}","{""2"": ""valley""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm1_top_fitness_vc200_sl20_07,0.5,1,top_fitness,200,20,1961769883,500,4,,"{""2"": 161, ""1"": 315, ""0"": 380, ""4"": 428}","{""2"": ""in_situ"", ""1"": ""in_situ"", ""0"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 20, ""0"": 20, ""1"": 20, ""3"": 20, ""4"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_07,0.5,0,top_fitness,200,40,3239584455,500,1,,"{""3"": 255}","{""3"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl20_06,1.0,1,top_fitness,200,20,3015110681,500,2,,"{""1"": 150, ""4"": 413}","{""1"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 20, ""1"": 20, ""3"": 20, ""0"": 20, ""4"": 20}"
s0.5_ecm1_top_fitness_vc200_sl40_07,0.5,1,top_fitness,200,40,2444966069,500,3,,"{""2"": 137, ""1"": 175, ""0"": 498}","{""2"": ""in_situ"", ""1"": ""in_situ"", ""0"": ""in_situ""}","{""2"": 40, ""0"": 40, ""1"": 40, ""4"": 40, ""3"": 40}"
s1.0_ecm0_top_fitness_vc200_sl5_07,1.0,0,top_fitness,200,5,961968673,500,0,,{},{},"{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm0_top_fitness_vc200_sl10_07,1.0,0,top_fitness,200,10,2192311881,500,1,,"{""1"": 419}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""4"": 10, ""3"": 10, ""0"": 10}"
s1.0_ecm0_top_fitness_vc200_sl20_07,1.0,0,top_fitness,200,20,12683389,500,2,,"{""2"": 215, ""3"": 453}","{""2"": ""valley"", ""3"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s1.0_ecm1_top_fitness_vc200_sl40_06,1.0,1,top_fitness,200,40,3853510287,500,2,,"{""1"": 187, ""3"": 361}","{""1"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 40, ""4"": 40, ""0"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl5_07,1.0,1,top_fitness,200,5,2173577224,500,1,,"{""2"": 214}","{""2"": ""valley""}","{""2"": 5, ""0"": 5, ""4"": 5, ""3"": 5, ""1"": 5}"
s1.0_ecm0_top_fitness_vc200_sl40_07,1.0,0,top_fitness,200,40,1186048420,500,4,,"{""2"": 219, ""1"": 327, ""3"": 368, ""4"": 408}","{""2"": ""in_situ"", ""1"": ""in_situ"", ""3"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s0.5_ecm1_top_fitness_vc200_sl5_08,0.5,1,top_fitness,200,5,2729092294,500,1,,"{""3"": 499}","{""3"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm0_top_fitness_vc200_sl5_08,0.5,0,top_fitness,200,5,2066791446,500,0,,{},{},"{""2"": 5, ""0"": 5, ""4"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm0_top_fitness_vc200_sl10_08,0.5,0,top_fitness,200,10,2619657086,500,1,,"{""2"": 198}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc200_sl10_07,1.0,1,top_fitness,200,10,867427826,500,2,,"{""2"": 264, ""4"": 448}","{""2"": ""valley"", ""4"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl10_08,0.5,1,top_fitness,200,10,2850642634,500,1,,"{""2"": 162}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_08,0.5,0,top_fitness,200,20,937157579,500,1,,"{""2"": 236}","{""2"": ""valley""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_08,0.5,0,top_fitness,200,40,2053761832,500,1,,"{""0"": 320}","{""0"": ""in_situ""}","{""2"": 40, ""4"": 40, ""1"": 40, ""3"": 40, ""0"": 40}"
s0.5_ecm1_top_fitness_vc200_sl20_08,0.5,1,top_fitness,200,20,1720562810,500,1,,"{""1"": 237}","{""1"": ""valley""}","{""2"": 20, ""0"": 20, ""4"": 20, ""1"": 20, ""3"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_08,1.0,0,top_fitness,200,5,2330161734,500,0,,{},{},"{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s1.0_ecm1_top_fitness_vc200_sl20_07,1.0,1,top_fitness,200,20,2619470638,500,2,,"{""1"": 90, ""2"": 496}","{""1"": ""valley"", ""2"": ""in_situ""}","{""2"": 20, ""3"": 20, ""1"": 20, ""0"": 20, ""4"": 20}"
s0.5_ecm1_top_fitness_vc200_sl40_08,0.5,1,top_fitness,200,40,3279156848,500,4,,"{""1"": 124, ""2"": 142, ""3"": 186, ""0"": 289}","{""1"": ""valley"", ""2"": ""in_situ"", ""3"": ""in_situ"", ""0"": ""in_situ""}","{""2"": 40, ""4"": 40, ""0"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm0_top_fitness_vc200_sl10_08,1.0,0,top_fitness,200,10,346485725,500,1,,"{""2"": 276}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc200_sl40_07,1.0,1,top_fitness,200,40,1870534885,414,5,413,"{""1"": 101, ""2"": 259, ""0"": 262, ""3"": 380, ""4"": 413}","{""1"": ""in_situ"", ""2"": ""in_situ"", ""0"": ""in_situ"", ""3"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""4"": 40, ""1"": 40, ""0"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl5_08,1.0,1,top_fitness,200,5,756424067,500,1,,"{""2"": 191}","{""2"": ""in_situ""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s1.0_ecm0_top_fitness_vc200_sl20_08,1.0,0,top_fitness,200,20,3823694117,500,1,,"{""2"": 274}","{""2"": ""valley""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s1.0_ecm0_top_fitness_vc200_sl40_08,1.0,0,top_fitness,200,40,2051978007,500,1,,"{""2"": 197}","{""2"": ""in_situ""}","{""2"": 40, ""4"": 40, ""0"": 40, ""1"": 40, ""3"": 40}"
s0.5_ecm0_top_fitness_vc200_sl5_09,0.5,0,top_fitness,200,5,3217553853,500,0,,{},{},"{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm1_top_fitness_vc200_sl10_08,1.0,1,top_fitness,200,10,3705529109,500,1,,"{""4"": 384}","{""4"": ""valley""}","{""1"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""0"": 10}"
s0.5_ecm1_top_fitness_vc200_sl5_09,0.5,1,top_fitness,200,5,3627941316,500,1,,"{""2"": 170}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm0_top_fitness_vc200_sl10_09,0.5,0,top_fitness,200,10,2746049199,500,1,,"{""2"": 179}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_sl10_09,0.5,1,top_fitness,200,10,2398627918,500,1,,"{""2"": 160}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_09,0.5,0,top_fitness,200,20,3365562411,500,1,,"{""4"": 462}","{""4"": ""in_situ""}","{""2"": 20, ""4"": 20, ""0"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm1_top_fitness_vc200_sl20_09,0.5,1,top_fitness,200,20,3854296277,500,2,,"{""1"": 122, ""2"": 361}","{""1"": ""in_situ"", ""2"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_09,0.5,0,top_fitness,200,40,443968078,500,2,,"{""2"": 155, ""4"": 240}","{""2"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm1_top_fitness_vc200_sl20_08,1.0,1,top_fitness,200,20,689926352,500,1,,"{""1"": 277}","{""1"": ""in_situ""}","{""2"": 20, ""4"": 20, ""3"": 20, ""0"": 20, ""1"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_09,1.0,0,top_fitness,200,5,952435168,500,0,,{},{},"{""2"": 5, ""4"": 5, ""3"": 5, ""0"": 5, ""1"": 5}"
s1.0_ecm0_top_fitness_vc200_sl10_09,1.0,0,top_fitness,200,10,1103451904,500,1,,"{""2"": 494}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl40_09,0.5,1,top_fitness,200,40,1598240572,500,2,,"{""1"": 167, ""0"": 256}","{""1"": ""in_situ"", ""0"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm0_top_fitness_vc200_sl20_09,1.0,0,top_fitness,200,20,3017992644,500,1,,"{""1"": 472}","{""1"": ""in_situ""}","{""2"": 20, ""4"": 20, ""0"": 20, ""1"": 20, ""3"": 20}"
s1.0_ecm1_top_fitness_vc200_sl5_09,1.0,1,top_fitness,200,5,3455663773,500,2,,"{""2"": 220, ""1"": 492}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 5, ""0"": 5, ""4"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm1_top_fitness_vc200_sl40_08,1.0,1,top_fitness,200,40,3437910501,500,2,,"{""1"": 208, ""4"": 378}","{""1"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 40, ""1"": 40, ""3"": 40, ""4"": 40, ""0"": 40}"
s1.0_ecm0_top_fitness_vc200_sl40_09,1.0,0,top_fitness,200,40,1139888573,500,3,,"{""2"": 337, ""4"": 378, ""0"": 417}","{""2"": ""in_situ"", ""4"": ""in_situ"", ""0"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
s1.0_ecm1_top_fitness_vc200_sl10_09,1.0,1,top_fitness,200,10,1531513205,500,2,,"{""1"": 325, ""4"": 435}","{""1"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}"
s1.0_ecm1_top_fitness_vc200_sl20_09,1.0,1,top_fitness,200,20,2994297305,500,1,,"{""1"": 229}","{""1"": ""valley""}","{""2"": 20, ""4"": 20, ""0"": 20, ""3"": 20, ""1"": 20}"
s1.0_ecm1_top_fitness_vc200_sl40_09,1.0,1,top_fitness,200,40,4215776173,500,1,,"{""1"": 116}","{""1"": ""valley""}","{""0"": 40, ""2"": 40, ""4"": 40, ""3"": 40, ""1"": 40}"
